Category: All categories

Country,Heineken: (6/25/21 - 6/26/21)
French Polynesia,100
Antigua & Barbuda,75
Fiji,23
Maldives,18
Mozambique,15
Netherlands,10
Ireland,7
China,7
Estonia,6
Brazil,5
Cambodia,5
Sri Lanka,5
Albania,4
Myanmar (Burma),4
Paraguay,4
Costa Rica,3
Bosnia & Herzegovina,3
Bulgaria,3
Portugal,3
Uganda,3
Singapore,3
Finland,3
Romania,2
Hungary,2
Syria,2
Denmark,2
Uruguay,2
Mexico,2
Czechia,2
Ghana,2
Slovakia,2
France,1
South Africa,1
Austria,1
Poland,1
Italy,1
Venezuela,1
Sweden,1
Peru,1
Germany,1
United Kingdom,1
Spain,1
Kenya,1
Vietnam,1
Morocco,1
Dominican Republic,1
United Arab Emirates,1
Saudi Arabia,1
Malaysia,1
Ecuador,1
Canada,1
Serbia,1
Argentina,1
Switzerland,1
Chile,1
Colombia,1
Belgium,1
Israel,1
Türkiye,1
Greece,<1
United States,<1
Thailand,<1
Philippines,<1
Indonesia,<1
South Korea,<1
India,<1
Australia,<1
Anguilla,
Greenland,
Equatorial Guinea,
Vanuatu,
Turks & Caicos Islands,
Western Sahara,
Djibouti,
Mauritania,
Sierra Leone,
Lebanon,
Zimbabwe,
Gabon,
Faroe Islands,
Georgia,
Guernsey,
Falkland Islands (Islas Malvinas),
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Ethiopia,
Eritrea,
Grenada,
Egypt,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Algeria,
Dominica,
Isle of Man,
Cyprus,
British Indian Ocean Territory,
Cayman Islands,
Iran,
Iraq,
Iceland,
Christmas Island,
Curaçao,
Jamaica,
Jersey,
Jordan,
Japan,
Kazakhstan,
Cuba,
Kyrgyzstan,
Cape Verde,
Kiribati,
St Kitts & Nevis,
Comoros,
Kuwait,
Laos,
Aruba,
Angola,
Libya,
St Lucia,
Liechtenstein,
Cook Islands,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St Martin,
Congo - Brazzaville,
Monaco,
Moldova,
Madagascar,
Congo - Kinshasa,
Cameroon,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Côte d’Ivoire,
Montenegro,
Mongolia,
Northern Mariana Islands,
Cocos (Keeling) Islands,
Central African Republic,
Montserrat,
Martinique,
Mauritius,
Malawi,
Botswana,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Micronesia,
Nicaragua,
Niue,
Bouvet Island,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Bhutan,
Brunei,
Palau,
Papua New Guinea,
Barbados,
Puerto Rico,
North Korea,
Bolivia,
Bermuda,
Palestine,
Belize,
Qatar,
Réunion,
Belarus,
Russia,
Rwanda,
St Barthélemy,
Sudan,
Senegal,
Bahamas,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Bahrain,
El Salvador,
San Marino,
Somalia,
St Pierre & Miquelon,
Bangladesh,
South Sudan,
São Tomé & Príncipe,
Suriname,
Burkina Faso,
Slovenia,
Caribbean Netherlands,
Eswatini,
Sint Maarten,
Seychelles,
Benin,
Burundi,
Chad,
Togo,
Azerbaijan,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
French Southern Territories,
Tuvalu,
Taiwan,
Tanzania,
Antarctica,
Ukraine,
US Outlying Islands,
American Samoa,
Armenia,
Uzbekistan,
Vatican City,
St Vincent & the Grenadines,
Andorra,
British Virgin Islands,
US Virgin Islands,
Åland Islands,
Afghanistan,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Nigeria,
