Category: All categories

Country,Heineken: (6/28/21 - 6/29/21)
Isle of Man,100
Guyana,69
Guadeloupe,61
Maldives,40
Somalia,35
Mali,27
Martinique,22
Zimbabwe,17
Mozambique,14
Netherlands,11
St Helena,10
Ireland,10
Palestine,8
Nicaragua,8
Jamaica,7
Puerto Rico,6
Brazil,6
Estonia,5
Slovakia,5
Romania,5
Georgia,5
Portugal,3
Hungary,3
Cambodia,3
South Africa,3
Denmark,3
New Zealand,3
Switzerland,3
Costa Rica,3
Croatia,3
Poland,2
Bolivia,2
France,2
Belgium,2
Paraguay,2
Ecuador,2
United Kingdom,2
Kenya,2
Italy,2
Vietnam,2
Norway,2
Chile,2
Germany,2
Morocco,2
Canada,2
Colombia,2
Mexico,1
Algeria,1
Nigeria,1
Spain,1
Malaysia,1
Peru,1
Czechia,1
United Arab Emirates,1
Finland,1
Argentina,1
Türkiye,1
United States,1
Australia,1
Austria,1
Thailand,1
Sweden,1
Saudi Arabia,1
Egypt,<1
India,<1
South Korea,<1
Taiwan,<1
Ukraine,<1
Russia,<1
Christmas Island,
Seychelles,
Anguilla,
Svalbard & Jan Mayen,
Northern Mariana Islands,
Tonga,
American Samoa,
Åland Islands,
South Sudan,
Equatorial Guinea,
US Virgin Islands,
Chad,
Niger,
Aruba,
Lebanon,
Guinea,
Ghana,
Gambia,
Guinea-Bissau,
Guernsey,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Gabon,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Micronesia,
Haiti,
Faroe Islands,
Indonesia,
Falkland Islands (Islas Malvinas),
Fiji,
British Indian Ocean Territory,
Ethiopia,
Iran,
Iraq,
Iceland,
Israel,
Western Sahara,
Eritrea,
Jersey,
Jordan,
Japan,
Kazakhstan,
Dominican Republic,
Kyrgyzstan,
Dominica,
Kiribati,
St Kitts & Nevis,
Djibouti,
Kuwait,
Laos,
Cyprus,
Angola,
Libya,
St Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St Martin,
Cayman Islands,
Monaco,
Moldova,
Madagascar,
Curaçao,
Cuba,
Marshall Islands,
North Macedonia,
Cape Verde,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Comoros,
Cook Islands,
Mauritania,
Montserrat,
Congo - Brazzaville,
Mauritius,
Malawi,
Congo - Kinshasa,
Mayotte,
Namibia,
New Caledonia,
Cameroon,
Norfolk Island,
Côte d’Ivoire,
China,
Niue,
Gibraltar,
Central African Republic,
Nepal,
Nauru,
Botswana,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Bouvet Island,
Philippines,
Palau,
Papua New Guinea,
Bhutan,
Brunei,
North Korea,
Barbados,
Bermuda,
Belize,
French Polynesia,
Qatar,
Réunion,
Belarus,
St Barthélemy,
Rwanda,
Bosnia & Herzegovina,
Sudan,
Senegal,
Singapore,
South Georgia & South Sandwich Islands,
Bahamas,
Bahrain,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Bulgaria,
St Pierre & Miquelon,
Serbia,
Bangladesh,
São Tomé & Príncipe,
Suriname,
Burkina Faso,
Slovenia,
Caribbean Netherlands,
Eswatini,
Sint Maarten,
Benin,
Syria,
Turks & Caicos Islands,
Burundi,
Togo,
Azerbaijan,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Antigua & Barbuda,
Trinidad & Tobago,
Tunisia,
French Southern Territories,
Tuvalu,
Antarctica,
Tanzania,
Uganda,
Armenia,
US Outlying Islands,
Uruguay,
Andorra,
Uzbekistan,
Vatican City,
St Vincent & the Grenadines,
Venezuela,
British Virgin Islands,
Albania,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Cocos (Keeling) Islands,
