Category: All categories

Country,Heineken: (6/9/21 - 6/10/21)
St Martin,100
Gibraltar,27
Aruba,24
Togo,21
Lesotho,19
New Caledonia,16
St Lucia,16
Bermuda,15
Jersey,13
Guernsey,12
Fiji,8
Suriname,8
Bahamas,7
Barbados,7
Mali,5
Iceland,5
Namibia,5
Cyprus,5
Zambia,4
St Helena,4
Angola,3
Zimbabwe,3
Netherlands,2
Laos,2
Cambodia,1
Estonia,1
Congo - Kinshasa,1
Jamaica,1
Brazil,1
North Macedonia,1
Armenia,1
Lithuania,1
Puerto Rico,1
Ireland,1
Romania,1
El Salvador,1
Georgia,1
Ghana,1
Tunisia,1
Hungary,1
Panama,1
Mexico,<1
Bulgaria,<1
Switzerland,<1
Poland,<1
Austria,<1
South Africa,<1
Serbia,<1
Peru,<1
Slovakia,<1
Algeria,<1
Italy,<1
Uruguay,<1
United Kingdom,<1
Bolivia,<1
Malaysia,<1
Finland,<1
Belgium,<1
Vietnam,<1
Chile,<1
Sweden,<1
Portugal,<1
Argentina,<1
Venezuela,<1
Germany,<1
Spain,<1
Denmark,<1
France,<1
Taiwan,<1
Canada,<1
Ecuador,<1
Philippines,<1
Nigeria,<1
United States,<1
Thailand,<1
Ukraine,<1
South Korea,<1
Saudi Arabia,<1
Colombia,<1
Australia,<1
India,<1
Indonesia,<1
Russia,<1
Pitcairn Islands,
Åland Islands,
Guinea-Bissau,
St Kitts & Nevis,
Faroe Islands,
Turks & Caicos Islands,
Djibouti,
Mauritania,
Gambia,
Yemen,
Kyrgyzstan,
Maldives,
Lebanon,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Guam,
French Guiana,
Isle of Man,
Guatemala,
British Indian Ocean Territory,
Greenland,
Iran,
Iraq,
Burkina Faso,
Israel,
Grenada,
Greece,
Caribbean Netherlands,
Jordan,
Japan,
Kazakhstan,
Kenya,
Equatorial Guinea,
Bangladesh,
Kiribati,
Benin,
Guadeloupe,
Kuwait,
Guinea,
Burundi,
Bahrain,
Libya,
Azerbaijan,
Liechtenstein,
Sri Lanka,
Bosnia & Herzegovina,
Gabon,
Luxembourg,
Latvia,
Macao,
Micronesia,
Morocco,
Monaco,
Moldova,
Madagascar,
St Barthélemy,
Bhutan,
Marshall Islands,
Falkland Islands (Islas Malvinas),
Antigua & Barbuda,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
French Southern Territories,
Montserrat,
Martinique,
Mauritius,
Malawi,
Belarus,
Mayotte,
Antarctica,
American Samoa,
Niger,
Norfolk Island,
Ethiopia,
Nicaragua,
Niue,
Western Sahara,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Guyana,
Eritrea,
Egypt,
Dominican Republic,
Dominica,
Palau,
Papua New Guinea,
Belize,
Czechia,
North Korea,
Cayman Islands,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Christmas Island,
Curaçao,
Rwanda,
Cuba,
Sudan,
Senegal,
Singapore,
South Georgia & South Sandwich Islands,
United Arab Emirates,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Costa Rica,
San Marino,
Somalia,
St Pierre & Miquelon,
Cape Verde,
South Sudan,
São Tomé & Príncipe,
Andorra,
Comoros,
Slovenia,
Cook Islands,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Albania,
Chad,
Anguilla,
Congo - Brazzaville,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Cameroon,
Türkiye,
Tuvalu,
Côte d’Ivoire,
Tanzania,
Uganda,
China,
US Outlying Islands,
Cocos (Keeling) Islands,
Central African Republic,
Uzbekistan,
Vatican City,
St Vincent & the Grenadines,
Botswana,
British Virgin Islands,
US Virgin Islands,
Bouvet Island,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Brunei,
Liberia,
Afghanistan,
Pakistan,
