Category: All categories

Country,Heineken: (6/27/21 - 6/28/21)
French Polynesia,100
Papua New Guinea,30
Andorra,25
Guam,23
Congo - Brazzaville,17
Belize,13
Barbados,12
Namibia,12
Haiti,9
Brunei,8
Martinique,8
Zambia,7
Cuba,6
Benin,6
Armenia,6
Cambodia,6
Nicaragua,4
Ireland,4
Netherlands,4
Laos,4
Jamaica,3
Myanmar (Burma),3
Bahrain,2
Brazil,2
Romania,2
Qatar,2
Cyprus,2
Hungary,2
Lithuania,2
Georgia,1
El Salvador,1
Ghana,1
Serbia,1
Latvia,1
Croatia,1
Azerbaijan,1
South Africa,1
Sri Lanka,1
Bosnia & Herzegovina,1
Portugal,1
Finland,1
Czechia,1
Denmark,1
Switzerland,1
New Zealand,1
Poland,1
Paraguay,1
Algeria,1
Iraq,1
France,1
Peru,1
United Kingdom,1
Singapore,1
Italy,1
Chile,1
Germany,1
Mexico,1
Vietnam,1
Slovakia,1
Sweden,<1
Spain,<1
Austria,<1
Norway,<1
Morocco,<1
Belgium,<1
Malaysia,<1
Ecuador,<1
Canada,<1
Argentina,<1
Colombia,<1
United States,<1
Philippines,<1
Thailand,<1
Türkiye,<1
Saudi Arabia,<1
Taiwan,<1
Egypt,<1
Australia,<1
Ukraine,<1
India,<1
Indonesia,<1
Russia,<1
Montserrat,
American Samoa,
Seychelles,
São Tomé & Príncipe,
Guinea-Bissau,
Vanuatu,
Equatorial Guinea,
Faroe Islands,
Chad,
South Sudan,
Tajikistan,
Afghanistan,
Lebanon,
Zimbabwe,
Hong Kong,
Heard & McDonald Islands,
Honduras,
French Guiana,
Guatemala,
Greenland,
Grenada,
Isle of Man,
Greece,
British Indian Ocean Territory,
Gambia,
Iran,
Guadeloupe,
Iceland,
Israel,
Guinea,
Gibraltar,
Jersey,
Jordan,
Japan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Guernsey,
Kiribati,
St Kitts & Nevis,
South Korea,
Kuwait,
Gabon,
Aruba,
Angola,
Libya,
St Lucia,
Liechtenstein,
Micronesia,
Lesotho,
Falkland Islands (Islas Malvinas),
Luxembourg,
Fiji,
Macao,
St Martin,
Ethiopia,
Monaco,
Moldova,
Madagascar,
Maldives,
Estonia,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Western Sahara,
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Eritrea,
Dominican Republic,
Mauritius,
Malawi,
Dominica,
Mayotte,
Djibouti,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Cayman Islands,
Niue,
Christmas Island,
Curaçao,
Nepal,
Nauru,
Costa Rica,
Oman,
Guyana,
Panama,
Pitcairn Islands,
Cape Verde,
Comoros,
Palau,
Cook Islands,
Congo - Kinshasa,
Puerto Rico,
North Korea,
Cameroon,
Côte d’Ivoire,
Palestine,
China,
Cocos (Keeling) Islands,
Réunion,
Central African Republic,
Botswana,
Rwanda,
Bouvet Island,
Sudan,
Senegal,
Bhutan,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Bolivia,
San Marino,
Somalia,
St Pierre & Miquelon,
Bermuda,
Belarus,
St Barthélemy,
Suriname,
Bahamas,
Slovenia,
Bulgaria,
Eswatini,
Sint Maarten,
Bangladesh,
Syria,
Turks & Caicos Islands,
Burkina Faso,
Togo,
Caribbean Netherlands,
Burundi,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Antigua & Barbuda,
Tuvalu,
French Southern Territories,
Tanzania,
Uganda,
Antarctica,
US Outlying Islands,
Uruguay,
United Arab Emirates,
Uzbekistan,
Vatican City,
St Vincent & the Grenadines,
Venezuela,
British Virgin Islands,
US Virgin Islands,
Albania,
Åland Islands,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Anguilla,
Pakistan,
