Category: All categories

Country,Heineken: (6/22/21 - 6/23/21)
Eswatini,100
Aruba,69
Cayman Islands,65
Congo - Brazzaville,44
Lesotho,43
Gabon,40
Angola,24
Mongolia,18
Benin,16
Burkina Faso,12
Netherlands,8
Cambodia,8
Estonia,8
Myanmar (Burma),7
Lebanon,6
Albania,5
Uganda,5
Congo - Kinshasa,5
North Macedonia,5
Brazil,4
Croatia,4
Serbia,4
Ireland,4
Bosnia & Herzegovina,4
Latvia,3
Singapore,3
Romania,3
Guatemala,3
Portugal,3
Oman,2
China,2
Paraguay,2
Tunisia,2
Algeria,2
New Zealand,2
Slovakia,2
Denmark,2
Kuwait,2
Mexico,2
Poland,2
United Kingdom,1
Nigeria,1
Norway,1
Nepal,1
France,1
Dominican Republic,1
Germany,1
Italy,1
South Africa,1
Vietnam,1
Austria,1
Hungary,1
Kenya,1
Peru,1
Saudi Arabia,1
Chile,1
Sweden,1
Malaysia,1
Finland,1
Ecuador,1
Bangladesh,1
Greece,1
Spain,1
Israel,1
Türkiye,1
Philippines,1
Argentina,1
Iran,1
Canada,1
Ukraine,<1
Czechia,<1
Pakistan,<1
United States,<1
India,<1
Australia,<1
Russia,<1
Indonesia,<1
Tokelau,
Falkland Islands (Islas Malvinas),
Anguilla,
Cook Islands,
Palau,
Marshall Islands,
Micronesia,
St Pierre & Miquelon,
Solomon Islands,
Western Sahara,
Equatorial Guinea,
Djibouti,
Åland Islands,
US Virgin Islands,
Cape Verde,
Liberia,
Sierra Leone,
Sudan,
Madagascar,
Zimbabwe,
Heard & McDonald Islands,
Honduras,
Guyana,
Haiti,
Guam,
French Guiana,
Isle of Man,
Greenland,
British Indian Ocean Territory,
Grenada,
Guinea-Bissau,
Iraq,
Iceland,
Gambia,
Guadeloupe,
Jamaica,
Jersey,
Jordan,
Japan,
Kazakhstan,
Guinea,
Kyrgyzstan,
Caribbean Netherlands,
Kiribati,
St Kitts & Nevis,
South Korea,
Gibraltar,
Belgium,
Burundi,
Laos,
Libya,
St Lucia,
Liechtenstein,
Sri Lanka,
Azerbaijan,
Lithuania,
Luxembourg,
Ghana,
Macao,
St Martin,
Morocco,
Monaco,
Moldova,
Guernsey,
Barbados,
Maldives,
Georgia,
Bulgaria,
Mali,
Malta,
Bahrain,
Montenegro,
Antigua & Barbuda,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Faroe Islands,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Bahamas,
Nicaragua,
Niue,
French Southern Territories,
Fiji,
Ethiopia,
Nauru,
St Barthélemy,
Eritrea,
Egypt,
Hong Kong,
Pitcairn Islands,
Dominica,
Belarus,
Antarctica,
Papua New Guinea,
Cyprus,
Puerto Rico,
North Korea,
Belize,
Christmas Island,
Palestine,
French Polynesia,
Qatar,
Réunion,
Curaçao,
Cuba,
Rwanda,
Costa Rica,
American Samoa,
Senegal,
Bermuda,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Armenia,
Comoros,
El Salvador,
San Marino,
Somalia,
United Arab Emirates,
Colombia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Bolivia,
Slovenia,
Cameroon,
Andorra,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Thailand,
Tajikistan,
Côte d’Ivoire,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Switzerland,
Cocos (Keeling) Islands,
Tuvalu,
Taiwan,
Tanzania,
Central African Republic,
Botswana,
US Outlying Islands,
Uruguay,
Bouvet Island,
Uzbekistan,
Vatican City,
St Vincent & the Grenadines,
Venezuela,
British Virgin Islands,
Afghanistan,
Brunei,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Bhutan,
Zambia,
Panama,
