Category: All categories

Country,Heineken: (6/26/21 - 6/27/21)
Sint Maarten,100
Guadeloupe,28
Réunion,26
Jersey,25
Botswana,25
Guam,17
Malawi,12
Madagascar,11
Martinique,10
Kosovo,10
Somalia,10
Angola,6
Jamaica,6
Mongolia,6
Netherlands,5
Ireland,4
Albania,4
Moldova,4
Cuba,4
Brazil,3
Hungary,2
Latvia,2
Dominican Republic,2
Kuwait,2
Paraguay,1
Portugal,1
Ghana,1
Syria,1
Romania,1
South Africa,1
Denmark,1
Singapore,1
Puerto Rico,1
Finland,1
Nepal,1
Serbia,1
Georgia,1
Kazakhstan,1
Norway,1
Austria,1
Poland,1
France,1
Mexico,1
Iraq,1
Peru,1
Italy,1
Slovakia,1
Germany,1
United Kingdom,1
Ecuador,1
Venezuela,1
United Arab Emirates,1
Sweden,1
Chile,1
Canada,1
Czechia,1
Vietnam,1
Argentina,1
Spain,<1
Nigeria,<1
Malaysia,<1
Belarus,<1
Belgium,<1
Saudi Arabia,<1
Türkiye,<1
Philippines,<1
United States,<1
Thailand,<1
Switzerland,<1
Colombia,<1
Israel,<1
South Korea,<1
Pakistan,<1
India,<1
Ukraine,<1
Australia,<1
Indonesia,<1
Russia,<1
Japan,<1
Vatican City,
Falkland Islands (Islas Malvinas),
Svalbard & Jan Mayen,
Anguilla,
St Pierre & Miquelon,
Vanuatu,
Dominica,
Equatorial Guinea,
Liechtenstein,
Turks & Caicos Islands,
South Sudan,
Liberia,
Mauritania,
Laos,
Zimbabwe,
Guatemala,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Greenland,
Grenada,
Isle of Man,
Greece,
British Indian Ocean Territory,
Guinea-Bissau,
Iran,
Gambia,
Iceland,
Guinea,
Gibraltar,
Guernsey,
Gabon,
Jordan,
Micronesia,
Faroe Islands,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St Kitts & Nevis,
Fiji,
Ethiopia,
Estonia,
Aruba,
Lebanon,
Libya,
St Lucia,
Western Sahara,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Eritrea,
Macao,
St Martin,
Morocco,
Monaco,
Egypt,
Algeria,
Maldives,
Djibouti,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Cyprus,
Northern Mariana Islands,
Mozambique,
Cayman Islands,
Montserrat,
Christmas Island,
Mauritius,
Curaçao,
Costa Rica,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Cape Verde,
Nicaragua,
Niue,
Comoros,
Cook Islands,
Congo - Brazzaville,
Nauru,
New Zealand,
French Guiana,
Congo - Kinshasa,
Panama,
Pitcairn Islands,
Cameroon,
Côte d’Ivoire,
Palau,
Papua New Guinea,
China,
Cocos (Keeling) Islands,
North Korea,
Central African Republic,
Bouvet Island,
Palestine,
French Polynesia,
Qatar,
Bhutan,
Brunei,
Barbados,
Rwanda,
Bolivia,
Sudan,
Senegal,
Bermuda,
South Georgia & South Sandwich Islands,
St Helena,
Belize,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
St Barthélemy,
Bosnia & Herzegovina,
Bahamas,
Bahrain,
São Tomé & Príncipe,
Suriname,
Bulgaria,
Slovenia,
Bangladesh,
Eswatini,
Burkina Faso,
Seychelles,
Caribbean Netherlands,
Benin,
Chad,
Togo,
Burundi,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Azerbaijan,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
Antigua & Barbuda,
US Outlying Islands,
Uruguay,
French Southern Territories,
Uzbekistan,
Antarctica,
St Vincent & the Grenadines,
American Samoa,
British Virgin Islands,
US Virgin Islands,
Armenia,
Andorra,
Wallis & Futuna,
Samoa,
Åland Islands,
Yemen,
Afghanistan,
Zambia,
Oman,
