Category: All categories

Country,Heineken: (6/14/21 - 6/15/21)
French Guiana,100
Gibraltar,98
Togo,62
Barbados,47
Réunion,38
Rwanda,35
Guam,23
Bahrain,10
Netherlands,7
Trinidad & Tobago,7
Azerbaijan,6
Estonia,6
Syria,5
Serbia,4
Ireland,4
Brazil,4
Honduras,3
El Salvador,2
Slovakia,2
Paraguay,2
Hungary,2
Panama,2
Romania,2
Hong Kong,2
Switzerland,2
Ghana,2
Croatia,2
Mexico,1
Bulgaria,1
Israel,1
Denmark,1
Bolivia,1
Belgium,1
United Kingdom,1
South Africa,1
Malaysia,1
Vietnam,1
Poland,1
Germany,1
Peru,1
Colombia,1
Finland,1
Italy,1
Ecuador,1
Morocco,1
France,1
Spain,1
Portugal,1
Dominican Republic,1
Kenya,1
Norway,1
Venezuela,1
Argentina,1
New Zealand,1
Sweden,1
Czechia,1
Türkiye,1
Canada,1
Chile,<1
Australia,<1
Greece,<1
Indonesia,<1
Philippines,<1
United States,<1
Taiwan,<1
Ukraine,<1
India,<1
Russia,<1
US Outlying Islands,
Eritrea,
St Pierre & Miquelon,
Samoa,
Equatorial Guinea,
Guinea-Bissau,
US Virgin Islands,
Grenada,
Sierra Leone,
Kyrgyzstan,
Sudan,
Lebanon,
Zimbabwe,
Guernsey,
Gabon,
Micronesia,
Guinea,
Guadeloupe,
Gambia,
Faroe Islands,
Falkland Islands (Islas Malvinas),
Fiji,
Ethiopia,
Greenland,
Guatemala,
Western Sahara,
Egypt,
Guyana,
Algeria,
Heard & McDonald Islands,
Dominica,
Djibouti,
Haiti,
Cyprus,
Cayman Islands,
Isle of Man,
Christmas Island,
British Indian Ocean Territory,
Curaçao,
Iran,
Iraq,
Iceland,
Cuba,
Costa Rica,
Jamaica,
Jersey,
Jordan,
Japan,
Kazakhstan,
Cape Verde,
Comoros,
Cambodia,
Kiribati,
St Kitts & Nevis,
South Korea,
Kuwait,
Laos,
Aruba,
Angola,
Libya,
St Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St Martin,
Cook Islands,
Monaco,
Moldova,
Madagascar,
Maldives,
Congo - Brazzaville,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Congo - Kinshasa,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Georgia,
Cameroon,
Côte d’Ivoire,
Nepal,
Nauru,
China,
Oman,
Pakistan,
Cocos (Keeling) Islands,
Pitcairn Islands,
Central African Republic,
Botswana,
Palau,
Papua New Guinea,
Bouvet Island,
Puerto Rico,
North Korea,
Bhutan,
Brunei,
Palestine,
French Polynesia,
Qatar,
Bermuda,
Belize,
Belarus,
St Barthélemy,
Saudi Arabia,
Bosnia & Herzegovina,
Senegal,
Singapore,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Bahamas,
Bangladesh,
San Marino,
Somalia,
Burkina Faso,
Caribbean Netherlands,
South Sudan,
São Tomé & Príncipe,
Suriname,
Benin,
Slovenia,
Burundi,
Eswatini,
Sint Maarten,
Seychelles,
Austria,
Turks & Caicos Islands,
Chad,
Antigua & Barbuda,
Thailand,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
French Southern Territories,
Tunisia,
Antarctica,
Tuvalu,
American Samoa,
Tanzania,
Uganda,
Armenia,
United Arab Emirates,
Uruguay,
Andorra,
Uzbekistan,
Vatican City,
St Vincent & the Grenadines,
Albania,
British Virgin Islands,
Åland Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Afghanistan,
Kosovo,
Yemen,
Liberia,
Zambia,
Niue,
