Category: All categories

Country,Coca Cola: (12/1/18 - 12/31/18)
Serbia,100
Estonia,78
Gibraltar,
Central African Republic,
Bolivia,49
Greenland,
Chile,42
Finland,37
Argentina,31
St Kitts & Nevis,
Brazil,25
Mexico,25
Uruguay,23
North Macedonia,22
Paraguay,21
Liechtenstein,
Eswatini,
Cape Verde,
Guatemala,17
Kosovo,
US Virgin Islands,
Belgium,16
Norway,16
Mozambique,
South Sudan,
Costa Rica,15
Ireland,15
Namibia,
Zimbabwe,
Ecuador,14
Colombia,14
Panama,13
Honduras,
Slovakia,13
Angola,
Iceland,
Nicaragua,
Zambia,
Papua New Guinea,
Czechia,12
Western Sahara,
Uganda,
Andorra,
Curaçao,
Denmark,12
Lesotho,
Puerto Rico,
Peru,11
Belize,
South Africa,11
Trinidad & Tobago,
Germany,11
Barbados,
Spain,10
Croatia,10
Pakistan,10
Niger,
Switzerland,10
Sri Lanka,10
Romania,10
French Guiana,
Sierra Leone,
United Kingdom,9
Poland,9
Congo - Brazzaville,
Hungary,9
Gabon,
Isle of Man,
Netherlands,9
El Salvador,
Armenia,
Sweden,8
Cuba,
Côte d’Ivoire,
Albania,
Guyana,
Kenya,8
Cambodia,
Ghana,
Congo - Kinshasa,
Portugal,8
Antigua & Barbuda,
New Zealand,8
Austria,7
Martinique,
Ethiopia,
Suriname,
Dominican Republic,7
Italy,7
Uzbekistan,
India,7
Rwanda,
Bosnia & Herzegovina,
Myanmar (Burma),
United States,6
Fiji,
Burkina Faso,
Somalia,
Greece,6
Canada,6
Macao,
Philippines,6
Latvia,
France,5
Slovenia,
Lithuania,
Moldova,
Australia,5
Benin,
Tanzania,
Cameroon,
Nigeria,5
Cyprus,
Azerbaijan,
Nepal,
Venezuela,4
Bulgaria,4
Réunion,
Singapore,4
Türkiye,4
Georgia,
Montenegro,
St Helena,
Bangladesh,
Oman,
Madagascar,
Luxembourg,
Malaysia,4
Mali,
Brunei,
United Arab Emirates,3
Belarus,3
Qatar,
Mongolia,
China,
Indonesia,3
Lebanon,
Morocco,
Senegal,
Tunisia,
Hong Kong,
Bahrain,
Vietnam,3
Kazakhstan,
Kyrgyzstan,
Russia,2
Laos,
Turkmenistan,
Kuwait,
Palestine,
Mauritius,
Jamaica,
Tajikistan,
Malta,
Algeria,
Israel,
Afghanistan,
Syria,
Ukraine,2
Egypt,
Jordan,
South Korea,
Iraq,
Thailand,1
Saudi Arabia,
Taiwan,
Iran,
Japan,<1
British Indian Ocean Territory,
Heard & McDonald Islands,
Eritrea,
Anguilla,
Tonga,
Northern Mariana Islands,
São Tomé & Príncipe,
Solomon Islands,
Samoa,
Caribbean Netherlands,
Comoros,
Dominica,
Turks & Caicos Islands,
Guernsey,
Aruba,
Haiti,
Palau,
French Polynesia,
Jersey,
Guam,
Grenada,
Pitcairn Islands,
Equatorial Guinea,
Kiribati,
Sudan,
Nauru,
Guinea-Bissau,
South Georgia & South Sandwich Islands,
Gambia,
Svalbard & Jan Mayen,
Guadeloupe,
Guinea,
Niue,
San Marino,
Micronesia,
St Pierre & Miquelon,
Faroe Islands,
Falkland Islands (Islas Malvinas),
Libya,
St Lucia,
Djibouti,
Cayman Islands,
Christmas Island,
Cook Islands,
Sint Maarten,
Seychelles,
Norfolk Island,
Cocos (Keeling) Islands,
Chad,
Togo,
St Martin,
New Caledonia,
Tokelau,
Mayotte,
Timor-Leste,
Botswana,
Bouvet Island,
Monaco,
Bhutan,
Tuvalu,
Malawi,
Bermuda,
St Barthélemy,
Maldives,
US Outlying Islands,
Bahamas,
Montserrat,
Burundi,
Vatican City,
St Vincent & the Grenadines,
French Southern Territories,
British Virgin Islands,
Antarctica,
Mauritania,
Vanuatu,
Wallis & Futuna,
American Samoa,
Åland Islands,
Yemen,
Liberia,
Marshall Islands,
North Korea,
