Category: All categories

Country,Coca Cola: (6/26/21 - 6/27/21)
French Guiana,100
Guernsey,63
Guadeloupe,44
Grenada,44
Congo - Brazzaville,39
Cayman Islands,35
Kosovo,30
St Lucia,20
Niger,19
Guam,18
South Sudan,18
Estonia,13
Barbados,12
Turkmenistan,11
Martinique,11
Botswana,10
Mali,9
Puerto Rico,9
Zimbabwe,8
Paraguay,7
North Macedonia,6
Azerbaijan,6
Bolivia,6
Senegal,5
Bosnia & Herzegovina,5
El Salvador,5
Côte d’Ivoire,4
Guatemala,4
Sri Lanka,4
Uruguay,4
Zambia,4
Honduras,4
Nepal,4
Mexico,4
Cyprus,4
Ecuador,3
Angola,3
Chile,3
Italy,3
Croatia,3
Portugal,3
Costa Rica,3
Serbia,3
Panama,3
Ghana,3
Cameroon,3
Spain,3
Argentina,3
Colombia,3
Switzerland,3
Brazil,3
Denmark,2
Ireland,2
Slovenia,2
Czechia,2
Tunisia,2
Romania,2
Peru,2
Tanzania,2
Austria,2
Finland,2
Lebanon,2
Slovakia,2
Belgium,2
Pakistan,2
United Arab Emirates,2
Norway,2
Dominican Republic,2
Sweden,2
Lithuania,2
Germany,2
Hungary,2
South Africa,2
Netherlands,2
Türkiye,1
Malaysia,1
Morocco,1
Poland,1
Bangladesh,1
Kenya,1
United States,1
Bulgaria,1
Nigeria,1
India,1
Canada,1
United Kingdom,1
France,1
Venezuela,1
Greece,1
Indonesia,1
Singapore,1
Philippines,1
Kazakhstan,1
Australia,1
New Zealand,1
Hong Kong,1
Vietnam,1
Israel,<1
South Korea,<1
Iraq,<1
Russia,<1
Thailand,<1
Ukraine,<1
Egypt,<1
Iran,<1
Japan,<1
US Outlying Islands,
Caribbean Netherlands,
Dominica,
Sint Maarten,
Mayotte,
Nicaragua,
Aruba,
Jersey,
Jordan,
Christmas Island,
Iceland,
Djibouti,
Kyrgyzstan,
Cambodia,
Kiribati,
St Kitts & Nevis,
British Indian Ocean Territory,
Kuwait,
Curaçao,
Cuba,
Afghanistan,
Libya,
Cape Verde,
Liechtenstein,
Comoros,
Lesotho,
Cook Islands,
Luxembourg,
Latvia,
Macao,
St Martin,
Isle of Man,
Monaco,
Moldova,
Madagascar,
Maldives,
Congo - Kinshasa,
Marshall Islands,
China,
Cocos (Keeling) Islands,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Algeria,
Mauritius,
Malawi,
Haiti,
Central African Republic,
Namibia,
New Caledonia,
Bouvet Island,
Norfolk Island,
Eritrea,
Gabon,
Niue,
Heard & McDonald Islands,
Bhutan,
Brunei,
Nauru,
Guyana,
Oman,
Bermuda,
Belize,
Pitcairn Islands,
Belarus,
Western Sahara,
Palau,
Papua New Guinea,
Ethiopia,
St Barthélemy,
Jamaica,
Bahamas,
Bahrain,
Palestine,
French Polynesia,
Qatar,
Réunion,
Fiji,
Greenland,
Rwanda,
Saudi Arabia,
Sudan,
Falkland Islands (Islas Malvinas),
Equatorial Guinea,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Burkina Faso,
San Marino,
Somalia,
St Pierre & Miquelon,
Benin,
Burundi,
São Tomé & Príncipe,
Suriname,
Guinea-Bissau,
Antigua & Barbuda,
French Southern Territories,
Eswatini,
Antarctica,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Gambia,
Tajikistan,
Tokelau,
American Samoa,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Armenia,
Guinea,
Tuvalu,
Taiwan,
Andorra,
Uganda,
Gibraltar,
Albania,
Åland Islands,
Faroe Islands,
Uzbekistan,
Vatican City,
St Vincent & the Grenadines,
Micronesia,
British Virgin Islands,
US Virgin Islands,
Georgia,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Yemen,
Liberia,
Laos,
North Korea,
