Category: All categories

Country,Coca Cola: (6/18/21 - 6/19/21)
French Guiana,100
Chad,95
Equatorial Guinea,56
Grenada,41
Andorra,32
Guernsey,30
Bermuda,26
Malta,25
New Caledonia,21
Belize,18
Cayman Islands,16
Kosovo,14
Congo - Brazzaville,14
Bhutan,12
Sierra Leone,11
Congo - Kinshasa,11
Maldives,10
Botswana,9
Zimbabwe,9
Tajikistan,8
North Macedonia,7
Portugal,7
Martinique,7
Costa Rica,7
Nicaragua,7
Angola,7
Mauritius,7
St Helena,7
Cuba,6
Hungary,6
Bolivia,6
Madagascar,6
Honduras,6
Iceland,5
Switzerland,5
Luxembourg,5
Guatemala,5
Paraguay,5
Oman,5
Italy,5
Albania,5
Bahrain,5
Chile,5
Nepal,4
Uruguay,4
Sweden,4
Ecuador,4
Haiti,4
United Arab Emirates,4
Mexico,4
Qatar,4
Puerto Rico,4
Romania,4
India,4
Germany,4
Pakistan,4
Colombia,4
Austria,4
Brazil,4
Benin,4
Ireland,4
Venezuela,4
Panama,4
Sri Lanka,4
Ethiopia,4
Namibia,4
Azerbaijan,3
Singapore,3
Spain,3
Argentina,3
Indonesia,3
Lithuania,3
Tanzania,3
Afghanistan,3
Netherlands,3
Belgium,3
Finland,3
Slovenia,3
Mali,3
Nigeria,3
Peru,3
Denmark,3
Côte d’Ivoire,3
Estonia,3
Slovakia,3
Palestine,3
Poland,3
Dominican Republic,3
Bosnia & Herzegovina,3
Uganda,3
South Africa,3
Czechia,3
Croatia,3
Canada,3
France,3
Malaysia,3
El Salvador,2
Latvia,2
Serbia,2
Tunisia,2
Yemen,2
United Kingdom,2
Mongolia,2
Bangladesh,2
Cyprus,2
Bulgaria,2
Cambodia,2
Türkiye,2
Norway,2
Georgia,2
Kenya,2
Cameroon,2
Uzbekistan,2
Australia,2
New Zealand,2
Greece,2
Jordan,2
Trinidad & Tobago,2
Hong Kong,2
United States,1
Morocco,1
Kuwait,1
Lebanon,1
Algeria,1
China,1
Myanmar (Burma),1
Vietnam,1
Israel,1
Sudan,1
Iraq,1
Philippines,1
Saudi Arabia,1
Kyrgyzstan,1
South Korea,1
Kazakhstan,1
Egypt,<1
Russia,<1
Taiwan,<1
Thailand,<1
Ukraine,<1
Iran,<1
Japan,<1
French Southern Territories,
Nauru,
St Pierre & Miquelon,
Eritrea,
Micronesia,
Seychelles,
Guinea-Bissau,
Liechtenstein,
Aruba,
Mozambique,
Mauritania,
Montserrat,
Jamaica,
Montenegro,
Malawi,
Jersey,
Mayotte,
British Indian Ocean Territory,
Isle of Man,
Niger,
Norfolk Island,
Heard & McDonald Islands,
Guyana,
Niue,
Guam,
Greenland,
Gambia,
Guadeloupe,
Guinea,
Gibraltar,
Ghana,
Gabon,
Pitcairn Islands,
Faroe Islands,
Marshall Islands,
Palau,
Papua New Guinea,
Falkland Islands (Islas Malvinas),
Fiji,
North Korea,
Western Sahara,
Kiribati,
St Kitts & Nevis,
French Polynesia,
Dominica,
Réunion,
Djibouti,
Moldova,
Rwanda,
Monaco,
St Martin,
Senegal,
Christmas Island,
South Georgia & South Sandwich Islands,
Curaçao,
Svalbard & Jan Mayen,
Solomon Islands,
Cape Verde,
Comoros,
San Marino,
Somalia,
Cook Islands,
Macao,
South Sudan,
São Tomé & Príncipe,
Suriname,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Eswatini,
Sint Maarten,
Brunei,
Syria,
Turks & Caicos Islands,
Barbados,
Togo,
Laos,
Belarus,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
St Barthélemy,
Bahamas,
Burkina Faso,
Tuvalu,
Libya,
Caribbean Netherlands,
Burundi,
St Lucia,
US Outlying Islands,
Antigua & Barbuda,
Antarctica,
American Samoa,
Vatican City,
St Vincent & the Grenadines,
Armenia,
British Virgin Islands,
US Virgin Islands,
Lesotho,
Vanuatu,
Wallis & Futuna,
Samoa,
Åland Islands,
Anguilla,
Liberia,
Zambia,
Northern Mariana Islands,
