Category: All categories

Region,Coca Cola: (5/31/21 - 6/1/21)
North Carolina,100
South Carolina,60
Indiana,56
Alabama,52
West Virginia,51
Georgia,49
Tennessee,46
New Hampshire,43
Mississippi,39
Missouri,37
Pennsylvania,34
Vermont,33
New Mexico,32
Kentucky,31
Wisconsin,30
Arkansas,30
Illinois,29
Virginia,28
Ohio,27
Michigan,27
Florida,26
Louisiana,25
Iowa,24
Texas,22
Maryland,20
California,20
Massachusetts,19
New Jersey,19
New York,19
Colorado,18
Nevada,18
Delaware,17
Utah,17
Washington,17
Kansas,15
Rhode Island,15
Arizona,13
Oregon,9
Oklahoma,9
Alaska,
Nebraska,
South Dakota,
North Dakota,
Montana,
Minnesota,
Maine,
Idaho,
Hawaii,
District of Columbia,
Connecticut,
Wyoming,
